department;region;district_region;post_index;city_type;city;district_city;street_type;street;hous;address;koatu;partner
1010011;Харківська;;61000;м.;Харків;Московський;вулиця;Якіра;131;61000, Харківська обл., місто Харків, Московський район, ВУЛИЦЯ ЯКІРА, будинок 131;6310137500;Делівері Авто
1010012;Житомирська;;10001;м.;Житомир;Богунський;вулиця;Ватутіна;55б;10001, Житомирська обл., місто Житомир, Богунський район, ВУЛИЦЯ ВАТУТІНА, будинок 55Б;1810136300;Делівері Авто
1010013;Івано-Франківська;;76007;м.;Івано-Франківськ;;вулиця;Сагайдачного;48Д;76007, Івано-Франківська обл., місто Івано-Франківськ, ВУЛИЦЯ САГАЙДАЧНОГО, будинок 48Д;2610100000;Делівері Авто
1010014;Хмельницька;Кам'янець-Подільський;32307;с.;Кам'янка;Шевченківський;вулиця;Вокзальна;2/8;32307, Хмельницька обл., Кам'янець-Подільський район, село Кам'янка, ВУЛИЦЯ ВОКЗАЛЬНА, будинок 2/8;6822483701;Делівері Авто
1010015;Херсонська;;73009;м.;Херсон;Суворовський;проспект;Адмірала Сенявіна;27;73009, Херсонська обл., місто Херсон, Суворовський район, ПРОСПЕКТ АДМІРАЛА СЕНЯВІНА, будинок 27;6510136900;Делівері Авто
1010016;Волинська;;43005;м.;Луцьк;;вулиця;Карбишева;2;43005, Волинська обл., місто Луцьк, ВУЛИЦЯ КАРБИШЕВА, будинок 2;0710100000;Делівері Авто
1010017;Рівненська;;33009;м.;Рівне;;провулок;РОБІТНИЧИЙ;5;33009, Рівненська обл., місто Рівне, ПРОВУЛОК РОБІТНИЧИЙ, будинок 5;5610100000;Делівері Авто
1010018;;;3026;м.;Київ;Голосіївський;вулиця;Пироговський шлях;135;03026, м.Київ, Голосіївський район, ВУЛИЦЯ ПИРОГОВСЬКИЙ ШЛЯХ, будинок 135;8036100000;Делівері Авто
1010019;;;2094;м.;Київ;Дніпровський;вулиця;Віскозна;32;02094, м.Київ, Дніпровський район, ВУЛИЦЯ ВІСКОЗНА, будинок 32;8036600000;Делівері Авто
1010020;Київська;;09117;м.;Біла Церква;;вулиця;УЗИНСЬКА;5;09117, Київська обл., місто Біла Церква, ВУЛИЦЯ УЗИНСЬКА, будинок 5;3210300000;Делівері Авто
1010021;Київська;;7403;м.;Бровари;;вулиця;Красовського;16;07403, Київська обл., місто Бровари, ВУЛИЦЯ КРАСОВСЬКОГО, будинок 16;3210600000;Делівері Авто
1010022;Донецька;;85700;м.;Волноваха;Волноваський;вулиця;Українська;36;85700, Донецька обл., Волноваський район, місто Волноваха, ВУЛИЦЯ УКРАЇНСЬКА, будинок 36;1421510100;Делівері Авто
1010023;Дніпропетровська;;50000;м.;Кривий Ріг;Довгинцівський;вулиця;Отто Брозовського;85;50000, Дніпропетровська обл., місто Кривий Ріг, Довгинцівський район, ВУЛИЦЯ ОТТО БРОЗОВСЬКОГО, будинок 85;1211036400;Делівері Авто
1010024;Черкаська;;18006;м.;Черкаси;Придніпровський;вулиця;ГОГОЛЯ;582;18006, Черкаська обл., місто Черкаси, Придніпровський район, ВУЛИЦЯ ГОГОЛЯ, будинок 582;7110136400;Делівері Авто
1010025;Черкаська;;19702;м.;Золотоноша;;вулиця;Шевченка;153;19701, Черкаська обл., місто Золотоноша, ВУЛИЦЯ ШЕВЧЕНКА, будинок 153;7110400000;Делівері Авто
1010026;Запорізька;;69014;м.;Запоріжжя;Шевченківський;вулиця;КОЛЬОРОВА;3;69014, Запорізька обл., місто Запоріжжя, Шевченківський район, ВУЛИЦЯ КОЛЬОРОВА, будинок 3;2310137500;Делівері Авто
1010027;Полтавська;;39610;м.;Кременчук;Крюківський;проспект;Свободи;172;39610, Полтавська обл., місто Кременчук, Крюківський район, ПРОСПЕКТ СВОБОДИ, будинок 172;5310436500;Делівері Авто
1010028;Миколаївська;;54002;м.;Миколаїв;Центральний;вулиця;Мала Морська;112;54002, Миколаївська обл., місто Миколаїв, Центральний район, ВУЛИЦЯ МАЛА МОРСЬКА, будинок 112;4810137200;Делівері Авто
1010029;Донецька;Костянтинівський;85102;м.;Костянтинівка;;площа;Перемоги;3;85102, Донецька обл., місто Костянтинівка, ПЛОЩА ПЕРЕМОГИ, будинок 3;1412600000;Делівері Авто
1010030;Донецька;Краматорський;84333;м.;Краматорськ;;вулиця;Архипа Куїнджі;5;84333, Донецька обл., місто Краматорськ, ВУЛИЦЯ АРХИПА КУЇНДЖІ, будинок 5;1412900000;Делівері Авто
1010031;Одеська;Овідіопольський;67806;смт.;Авангард;;вулиця;Базова;20;67806, Одеська обл., Овідіопольський район, селище міського типу Авангард, ВУЛИЦЯ БАЗОВА, будинок 20;5123755200;Делівері Авто
1010032;Харківська;;61054;м.;Харків;Московський;вулиця;Василя Стуса;6;61054, Харківська обл., м.Харків, Московський р-н., вул.Василя Стуса, 6;6310137500;Делівері Авто
1010033;Харківська;;61172;м.;Харків;Індустріальний;вулиця;Роганська;147;61172, Харківська обл., місто Харків, Індустріальний район, ВУЛИЦЯ РОГАНСЬКА, будинок 147;6310138200;Делівері Авто
1010034;Хмельницька;;29016;м.;Хмельницький;;вулиця;Геологів;8;29016, Хмельницька обл., місто Хмельницький, ВУЛИЦЯ ГЕОЛОГІВ, будинок 8;6810100000;Делівері Авто
1010035;Вінницька;;21034;м.;Вінниця;;вулиця;Ватутіна;137;21034, Вінницька обл., місто Вінниця, ВУЛИЦЯ Ватутіна, будинок 137;0510100000;Делівері Авто
1010036;Чернівецька;;58007;м.;Чернівці;Садгірський;вулиця;Коломийська;13Б;58007, Чернівецька обл., місто Чернівці, Садгірський район, ВУЛИЦЯ КОЛОМИЙСЬКА, будинок 13Б;0524955100;Делівері Авто
1010037;Тернопільська;;46400;м.;Тернопіль;;вулиця;Подільська;38А;46400, Тернопільська обл., місто Тернопіль, ВУЛИЦЯ ПОДІЛЬСЬКА, будинок 38-А;6110100000;Делівері Авто
1010038;Львівська;;79035;м.;Львів;Сихівський;вулиця;БУЗКОВА;2;79035, Львівська обл., місто Львів, Сихівський район, ВУЛИЦЯ БУЗКОВА, будинок 2;4610136800;Делівері Авто
1010039;Закарпатська;;88006;м.;Ужгород;;вулиця;Проектна;1А;88006, Закарпатська обл., місто Ужгород, ВУЛИЦЯ ПРОЕКТНА, будинок 1А;2110100000;Делівері Авто
1010040;Волинська;Володимир-Волинський;44702;м.;Володимир-Волинський;;вулиця;20 липня;8А;44702, Волинська обл., місто Володимир-Волинський, ВУЛИЦЯ 20 ЛИПНЯ, будинок 8А;0710200000;Делівері Авто
1010041;Волинська;Ковельський;45005;м.;Ковель;;вулиця;Ватутіна;59;45005, Волинська обл., місто Ковель, ВУЛИЦЯ ВАТУТІНА, будинок 59;0710400000;Делівері Авто
1010042;;;4080;м.;Київ;Оболонський;вулиця;Новокостянтинівська;22/15;04080, м.Київ, Оболонський район, ВУЛИЦЯ НОВОКОСТЯНТИНІВСЬКА, будинок 22/15;8038000000;Делівері Авто
1010043;;;03115;м.;Київ;Святошинський;вулиця;Святошинська;32;03115, м.Київ, Святошинський район, ВУЛИЦЯ СВЯТОШИНСЬКА, будинок 32;8038600000;Делівері Авто
1010044;;;02099;м.;Київ;Дарницький;вулиця;БОРИСПІЛЬСЬКА;9;02099, м.Київ, Дарницький район, ВУЛИЦЯ БОРИСПІЛЬСЬКА, будинок 9;8036300000;Делівері Авто
1010045;Луганська;;93003;м.;Рубіжне;;вулиця;ПОМЕРАНЧУКА;13-А;93003, Луганська обл., місто Рубіжне, ВУЛИЦЯ ПОМЕРАНЧУКА, будинок 13-А;4412500000;Делівері Авто
1010046;Київська;Києво-Святошинський;08132;м.;Вишневе;;вулиця;Промислова;5;08132, Київська обл., Києво-Святошинський район, місто Вишневе, ВУЛИЦЯ ПРОМИСЛОВА, будинок 5;3222410600;Делівері Авто
1010047;Дніпропетровська;;49101;м.;Дніпро;Центральний;вулиця;Володимира Антоновича;33;49101, Дніпропетровська обл., місто Дніпро, Центральний район, ВУЛИЦЯ ВОЛОДИМИРА АНТОНОВИЧА, будинок 33;1210137500;Делівері Авто
1010048;Дніпропетровська;;49033;м.;Дніпро;Чечелівський;вулиця;Краснопільська;23А;49033, Дніпропетровська обл., місто Дніпро, Чечелівський район, ВУЛИЦЯ КРАСНОПІЛЬСЬКА, будинок 23А;1210137800;Делівері Авто
1010049;Сумська;;40007;смт.;Суми;Зарічний;вулиця;Лінійна;15;40007, Сумська обл., місто Суми, Зарічний район, ВУЛИЦЯ ЛІНІЙНА, будинок 15;5910136300;Делівері Авто
1010050;Одеська;Овідіопольський;67806;м.;Авангард;;вулиця;Базова;11;67806, Одеська обл., Овідіопольський район, селище міського типу Авангард, ВУЛИЦЯ БАЗОВА, будинок 11;5123755200;Делівері Авто
1010051;Черкаська;;18036;м.;Черкаси;Соснівський;вулиця;14-ГО ГРУДНЯ; 6/1;18036, Черкаська обл., місто Черкаси, Соснівський район, ВУЛИЦЯ 14-ГО ГРУДНЯ, будинок 6/1;7110136700;Делівері Авто
1010052;Черкаська;Балтський;19402;м.;Корсунь-Шевченківський;;вулиця;Героїв Майдану;8;19402, Черкаська обл., Корсунь-Шевченківський район, місто Корсунь-Шевченківський, ВУЛИЦЯ ГЕРОЇВ МАЙДАНУ, будинок 8;7122510100;Делівері Авто
1010053;Запорізька;;72312;м.;Мелітополь;;вулиця;ІНТЕРКУЛЬТУРНА;21/1;72312, Запорізька обл., місто Мелітополь, ВУЛИЦЯ ІНТЕРКУЛЬТУРНА, будинок 21/1;2310700000;Делівері Авто
1010054;Запорізька;;69057;м.;Запоріжжя;Вознесенівський;вулиця;Олександра Матросова;15;69057, Запорізька обл., місто Запоріжжя, Вознесенівський район, ВУЛИЦЯ ОЛЕКСАНДРА МАТРОСОВА, будинок 15;2310137200;Делівері Авто
1010055;Донецька;;84507;м.;Бахмут;;вулиця;Мічуріна;1-А;84507, Донецька обл., місто Бахмут, ВУЛИЦЯ МІЧУРІНА, будинок 1-А;1410300000;Делівері Авто
1010056;Донецька;Слов`янський;84122;м.;Слов`янськ;;вулиця;Поштова;81;84122, Донецька обл., місто Слов'янськ, ВУЛИЦЯ ПОШТОВА, будинок 81;1414100000;Делівері Авто
1010057;Харківська;;61040;м.;Харків;Холодногірський;вулиця;Велика Панасівська;185;61040, Харківська обл., місто Харків, Холодногірський район, ВУЛИЦЯ ВЕЛИКА ПАНАСІВСЬКА, будинок 185;6310137200;Делівері Авто
1010058;Житомирська;Новоград-Волинський;11707;м.;Новоград-Волинський;;вулиця;Шевченка;54;11707, Житомирська обл., місто Новоград-Волинський, ВУЛИЦЯ ШЕВЧЕНКА, будинок 54;1824000000;Делівері Авто
1010059;Хмельницька;;29026;м.;Хмельницький;;вулиця;ПІЛОТСЬКА;77/6;29026, Хмельницька обл., місто Хмельницький, ВУЛИЦЯ ПІЛОТСЬКА, будинок 77/6;6810100000;Делівері Авто
1010060;Рівненська;;33005;м.;Рівне;;вулиця;Боярка;28;33005, Рівненська обл., місто Рівне, ВУЛИЦЯ БОЯРКА , будинок 28;5610100000;Делівері Авто
1010061;Львівська;Самбірський;81400;м.;Самбір;;вулиця;Шевченка;52/9;81400, Львівська обл., місто Самбір, ВУЛИЦЯ ШЕВЧЕНКА, будинок 52/9;4624200000;Делівері Авто
1010062;Рівненська;;33027;м.;Рівне;;вулиця;Київська;98;33027, Рівненська обл., місто Рівне, ВУЛИЦЯ Київська, будинок 98;5610100000;Делівері Авто
1010063;Волинська;;43023;м.;Луцьк;;вулиця;Єршова;11;43023, Волинська обл., місто Луцьк, ВУЛИЦЯ ЄРШОВА, будинок 11;0710100000;Делівері Авто
1010064;;;02081;м.;Київ;Дарницький;вулиця;ПРИЧАЛЬНА;5-А;02081, м.Київ, Дарницький район, ВУЛИЦЯ ПРИЧАЛЬНА, будинок 5-А;8036300000;Делівері Авто
1010065;Волинська;Ківерцівський;45201;м.;Ківерці;;вулиця;Чкалова;61;45201, Волинська обл., Ківерцівський район, м.Ківерці, ВУЛИЦЯ ЧКАЛОВА, будинок 61;0721810100;Делівері Авто
1010066;Київська;;4074;м.;Київ;;вулиця;Коноплянська;12;04074, м.Київ, Оболонський район, ВУЛИЦЯ КОНОПЛЯНСЬКА, будинок 12;8038000000;Делівері Авто
1010067;Сумська;;42001;м.;Ромни;;вулиця;Горького;67;42001, Сумська обл., місто Ромни, ВУЛИЦЯ ГОРЬКОГО, будинок 67;5910700000;Делівері Авто
1010068;Дніпропетровська;;49019;м.;Дніпро;;вулиця;Квітки - Основ`яненко;5;49019, Дніпропетровська обл., місто Дніпро, Ленінський район, ВУЛИЦЯ КВІТКИ-ОСНОВ'ЯНЕНКО, будинок 5;1210138100;Делівері Авто
1010069;Волинська;;43018;м.;Луцьк;;вулиця;ПОТЕБНІ;71;43018, Волинська обл., місто Луцьк, ВУЛИЦЯ ПОТЕБНІ, будинок 71;0710100000;Делівері Авто
1010070;Одеська;Білгород-Дністровський;67707;м.;Білгород-Дністровський;;вулиця;Гагаріна;33;67704, Одеська обл., місто Білгород-Дністровський, ВУЛИЦЯ ГАГАРІНА, будинок 33;5110300000;Делівері Авто
1010071;Хмельницька;Полонський;30501;м.;Полонне;;вулиця;ДЕСЯТИННА;36;30501, Хмельницька обл., Полонський район, місто Полонне, ВУЛИЦЯ ДЕСЯТИННА, будинок 36;6823610100;Делівері Авто
1010072;Запорізька;Бердянський;71108;м.;Бердянськ;;вулиця;Правди;80;71108, Запорізька обл., місто Бердянськ, ВУЛИЦЯ ПРАВДИ, будинок 80;2310400000;Делівері Авто
1010073;Харківська;Лозівський;64602;м.;Лозова;;провулок;Севастопольський;2Б;64602, Харківська обл., місто Лозова, ПРОВУЛОК СЕВАСТОПОЛЬСЬКИЙ, будинок 2Б;6311000000;Делівері Авто
1010074;Чернігівська;Прилуцький;17503;м.;Прилуки;;вулиця;Козача;56;17503, Чернігівська обл., місто Прилуки, ВУЛИЦЯ КОЗАЧА, будинок 56;7410700000;Делівері Авто
1010075;Рівненська;Сарненський;34503;м.;Сарни;;вулиця;Ткача;12;34503, Рівненська обл., Сарненський район, місто Сарни, ВУЛИЦЯ ТКАЧА, будинок 12;5625400000;Делівері Авто
1010076;Волинська;;45403;м.;Нововолинськ;;вулиця;Промислова;67;45403, Волинська обл., місто Нововолинськ, ВУЛИЦЯ ПРОМИСЛОВА, будинок 67;0710700000;Делівері Авто
1010077;Волинська;Любомльський;44301;м.;Любомль;;вулиця;1 Травня;127;44301, Волинська обл., Любомльський район, місто Любомль, ВУЛИЦЯ 1 ТРАВНЯ, будинок 127;0723310100;Делівері Авто
1010078;Полтавська;;36020;м.;Полтава;;вулиця;Соборності;28/13;36020, Полтавська обл., місто Полтава, Октябрський район, ВУЛИЦЯ СОБОРНОСТІ, будинок 28/13;5310137000;Делівері Авто
1010079;Сумська;Шосткинський;41100;м.;Шостка;;вулиця;Садовий бульвар;36А;41100, Сумська обл., місто Шостка, ВУЛИЦЯ САДОВИЙ БУЛЬВАР, будинок 36А;5925300000;Делівері Авто
1010080;Херсонська;;74900;м.;Нова Каховка;;проспект;Дніпровський;1 П;74900, Херсонська обл., місто Нова Каховка, ПРОСПЕКТ ДНІПРОВСЬКИЙ, будинок 1-П;6510700000;Делівері Авто
1010081;Херсонська;Каховський;74800;м.;Каховка;;вулиця;Мелітопільська;83;74800, Херсонська обл., місто Каховка, ВУЛИЦЯ МЕЛІТОПІЛЬСЬКА, будинок 83;6510400000;Делівері Авто
1010082;Рівненська;;34400;м.;Вараш;;вулиця;Лісова;1;34400, Рівненська обл., місто Вараш, ВУЛИЦЯ ЛІСОВА, будинок 1;5610700000;Делівері Авто
1010083;Тернопільська;;46003;м.;Тернопіль;;вулиця;Бродівська;44;46003, Тернопільська обл., місто Тернопіль, ВУЛИЦЯ БРОДІВСЬКА, будинок 44;6110100000;Делівері Авто
1010084;Донецька;;87515;м.;Маріуполь;Центральний;вулиця;Італійська;40;87515, Донецька обл., місто Маріуполь, Центральний район, ВУЛИЦЯ ІТАЛІЙСЬКА, будинок 40;1412336300;Делівері Авто
1010085;Рівненська;Костопільський;35000;м.;Костопіль;;вулиця;ДРУЖБИ;2;35000, Рівненська обл., Костопільський район, місто Костопіль, ВУЛИЦЯ ДРУЖБИ, будинок 2;5623410100;Делівері Авто
1010086;Київська;Обухівський;8700;м.;Обухів;;вулиця;Жовтнева;174;08700, Київська обл., місто Обухів, ВУЛИЦЯ ЖОВТНЕВА, будинок 174;3211600000;Делівері Авто
1010087;Дніпропетровська;Нікопольський;53208;м.;Нікополь;;вулиця;Кооперативна;5;53208, Дніпропетровська обл., місто Нікополь, ВУЛИЦЯ КООПЕРАТИВНА, будинок 5;1211600000;Делівері Авто
1010088;Волинська;Павлоградський;45008;м.;Ковель;;вулиця;Незалежності;166-А;45008, Волинська обл., місто Ковель, ВУЛИЦЯ Незалежності, будинок 166-А;0710400000;Делівері Авто
1010089;Львівська;Жидачівський;81700;м.;Жидачів;;вулиця;Вокзальна;5;81700, Львівська обл., Жидачівський район, місто Жидачів, ВУЛИЦЯ ВОКЗАЛЬНА, будинок 5;4621510100;Делівері Авто
1010090;Черкаська;Уманський;20301;м.;Умань;;вулиця;Індустріальна;14А;20301, Черкаська обл., місто Умань, ВУЛИЦЯ ІНДУСТРІАЛЬНА, будинок 14А;7110800000;Делівері Авто
1010091;Волинська;Ратнівський;27500;смт.;Ратне;;вулиця;1-го Травня;34;44101, Волинська обл., Ратнівський район, селище міського типу Ратне, ВУЛИЦЯ 1-ГО ТРАВНЯ, будинок 34;0724255100;Делівері Авто
1010092;Закарпатська;;89611;м.;Мукачево;;вулиця;АКАДЕМІКА МОРОЗОВА;20;89611, Закарпатська обл., місто Мукачево, ВУЛИЦЯ АКАДЕМІКА МОРОЗОВА, будинок 20;2110400000;Делівері Авто
1010093;Хмельницька;Волочиський;31202;м.;Волочиськ;;вулиця;Олександра Довженка;2-Ж;31202, Хмельницька обл., Волочиський район, місто Волочиськ, ВУЛИЦЯ ОЛЕКСАНДРА ДОВЖЕНКА, будинок 2-Ж;6820910100;Делівері Авто
1010094;Кіровоградська;;25015;м.;Кропивницький;Подільський;вулиця;Євгена Маланюка;11-А;25015, Кіровоградська обл., м.Кропивницький, Подільський р-н., вул. Євгена Маланюка, 11-А;3510136600;Делівері Авто
1010095;Миколаївська;;55001;м.;Южноукраїнськ;;вулиця;Дружби народів;5/5;55001, Миколаївська обл., місто Южноукраїнськ, ВУЛИЦЯ ДРУЖБИ НАРОДІВ, будинок 5/5;4810800000;Делівері Авто
1010096;Луганська;Станично-Луганський;93600;смт.;Станиця Луганська;;вулиця;БУКАЄВА;53;93600, Луганська обл., Станично-Луганський район, селище міського типу Станиця Луганська, ВУЛИЦЯ БУКАЄВА, будинок 53;4424855100;Делівері Авто
1010097;Запорізька;Токмацький;71701;м.;Токмак;;вулиця;Карла Лібкнехта;103;71701, Запорізька обл., місто Токмак, ВУЛИЦЯ КАРЛА ЛІБКНЕХТА, будинок 103;2311000000;Делівері Авто
1010098;Запорізька;;69089;м.;Запоріжжя;;вулиця;Істоміна;6;69089, Запорізька обл., місто Запоріжжя, Дніпровський район, ВУЛИЦЯ ІСТОМІНА, будинок 6;2310136900;Делівері Авто
1010099;Чернігівська;Ніжинський;16610;м.;Ніжин;;вулиця;Генерала Корчагіна;2;16610, Чернігівська обл., місто Ніжин, ВУЛИЦЯ ГЕНЕРАЛА КОРЧАГІНА, будинок 2;7410400000;Делівері Авто
1010100;Сумська;Конотопський;41600;м.;Конотоп;;вулиця;Садова;16;41600, Сумська обл., місто Конотоп, ВУЛИЦЯ САДОВА, будинок 16;5910400000;Делівері Авто
1010101;Полтавська;;39801;м.;Горішні Плавні;;вулиця;Строна;1;39801, Полтавська обл., місто Горішні Плавні, ВУЛИЦЯ СТРОНА, будинок 1;5310200000;Делівері Авто
1010102;Вінницька;;23100;м.;Жмеринка;;вулиця;Київська;18;23100, Вінницька обл., місто Жмеринка, ВУЛИЦЯ КИЇВСЬКА, будинок 18;0510300000;Делівері Авто
1010103;Миколаївська;;56501;м.;Вознесенськ;;вулиця;Соборності;13;56501, Миколаївська обл., місто Вознесенськ, ВУЛИЦЯ СОБОРНОСТІ, будинок 13;4810200000;Делівері Авто
1010104;Луганська;Кремінський;92905;м.;Кремінна;;провулок;ПІЩАНИЙ;10;92905, Луганська обл., Кремінський район, місто Кремінна, ПРОВУЛОК ПІЩАНИЙ, будинок 10;4421610100;Делівері Авто
1010105;Сумська;;41400;м.;Глухів;;вулиця;ТЕРЕЩЕНКІВ;55;41400, Сумська обл., місто Глухів, ВУЛИЦЯ ТЕРЕЩЕНКІВ, будинок 55;5910300000;Делівері Авто
1010106;Херсонська;Генічеський;75500;м.;Генічеськ;;проспект;Миру;109-Б;75500, Херсонська обл., Генічеський район, місто Генічеськ, ПРОСПЕКТ МИРУ, будинок 109-Б;6522110100;Делівері Авто
1010107;Дніпропетровська;;08601;м.;Васильків;;вулиця;ГОГОЛЯ;5-А;08601, Київська обл., місто Васильків, ВУЛИЦЯ ГОГОЛЯ, будинок 5-А;3210700000;Делівері Авто
1010108;Львівська;;80109;м.;Червоноград;;вулиця;Богдана Хмельницького;61;80109, Львівська обл., місто Червоноград, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, будинок 61;4611800000;Делівері Авто
1010109;Львівська;Яворівський;81085;с.;Підрясне;;вулиця;Європейська;1;81085, Львівська обл., Яворівський р-н., с.Підрясне вул.Європейська, 1;4625887503;Делівері Авто
1010110;Київська;;08304;м.;Бориспіль;;вулиця;Головатого;83;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;3210500000;Делівері Авто
1010111;;;3026;м.;Київ;;вулиця;ПИРОГОВСЬКИЙ ШЛЯХ;135;03026, м.Київ, Голосіївський район, ВУЛИЦЯ ПИРОГОВСЬКИЙ ШЛЯХ, будинок 135;8036100000;Делівері Авто
1010112;Запорізька;;69014;м.;Запоріжжя;;вулиця;КАРПЕНКА-КАРОГО;47;69014, Запорізька обл., місто Запоріжжя, Шевченківський район, ВУЛИЦЯ КАРПЕНКА-КАРОГО, будинок 47;2310137500;Делівері Авто
1010113;Харківська;Дергачівський;62302;м.;Дергачі;;вулиця;СУМСЬКИЙ ШЛЯХ;158;62302, Харківська обл., Дергачівський район, місто Дергачі, ВУЛИЦЯ СУМСЬКИЙ ШЛЯХ, будинок 158;6322010100;Делівері Авто
1010114;Харківська;Харківський;62416;смт.;Пісочин;;вулиця;ПОЛТАВСЬКЕ ШОСЕ;157-А;62416, Харківська обл., Харківський район, селище міського типу Пісочин, ВУЛИЦЯ ПОЛТАВСЬКЕ ШОСЕ, будинок 157-А;6325157900;Делівері Авто
1010115;Запорізька;;69006;м.;Запоріжжя;Дніпровський;вулиця;Портова;2;69006, Запорізька обл., м.Запоріжжя, Дніпровський р-н., вул.Портова, 2;2310136900;Делівері Авто
1010116;Полтавська;;39600;м.;Кременчук;;вулиця;ІГОРЯ СЕРДЮКА;47;39600, Полтавська обл., місто Кременчук, Крюківський район, ВУЛИЦЯ ІГОРЯ СЕРДЮКА, будинок 47;5310436500;Делівері Авто
1010117;Полтавська;Семенівський;38200;смт.;Семенівка;;вулиця;ПЕРЕМОГИ;7;38200, Полтавська обл., Семенівський район, селище міського типу Семенівка, ВУЛИЦЯ ПЕРЕМОГИ, будинок 7;5324555100;Делівері Авто
1010118;Запорізька;;69002;м.;Запоріжжя;Олександрівський;вулиця;КРИВА БУХТА;2;69002, Запорізька обл., місто Запоріжжя, Олександрівський район, ВУЛИЦЯ КРИВА БУХТА, будинок 2;2310136300;Делівері Авто
1010119;Харківська;;61124;м.;Харків;Слобідський;вулиця;Олександра Матросова;20;61124, Харківська обл., місто Харків, Слобідський район, ВУЛИЦЯ ОЛЕКСАНДРА МАТРОСОВА, будинок 20;6310136900;Делівері Авто
1010120;Львівська;;82106;м.;Дрогобич;;вулиця;Володимира Великого;66-1;82106, Львівська обл., місто Дрогобич, ВУЛИЦЯ ВОЛОДИМИРА ВЕЛИКОГО, будинок 66-1;4610600000;Делівері Авто
1010121;Кіровоградська;;25014;м.;Кропивницький;Фортечний;вулиця;ДЖЕРЕЛЬНА;86;25014, Кіровоградська обл., місто Кропивницький, Фортечний район, ВУЛИЦЯ ДЖЕРЕЛЬНА, будинок 86;3510136300;Делівері Авто
1010122;;;03124;м.;Київ;Солом'янський;вулиця;РАДИЩЕВА;12-16;03124, м.Київ, Солом'янський район, ВУЛИЦЯ РАДИЩЕВА, будинок 12-16;8038900000;Делівері Авто
1010123;Полтавська;Зіньківський;38100;м.;Зіньків;;вулиця;Воздвиженська;1-К;38100, Полтавська обл., Зіньківський район, місто Зіньків, ВУЛИЦЯ ВОЗДВИЖЕНСЬКА, будинок 1-К;5321310100;Делівері Авто
1010124;Волинська;;43020;м.;Луцьк;;вулиця;Рівненська;76-А;43020, Волинська обл., місто Луцьк, ВУЛИЦЯ РІВНЕНСЬКА, будинок 76-А;0710100000;Делівері Авто
1010125;Донецька;;85307;м.;Покровськ;;МІКРОРАЙОН;Шахтарський;2-Б;85307, Донецька обл., місто Покровськ, МІКРОРАЙОН ШАХТАРСЬКИЙ, будинок 2-Б;1413200000;Делівері Авто
